track_id,name,album,artists,url,acousticness,danceability,energy,instrumentalness,speechiness,valence,duration,loudness,tempo,time_signature,key,mode
23fEZLdzHoZlNZZu4E1pSp,Absentee,Tip of the Sphere,Cass McCombs,https://open.spotify.com/track/23fEZLdzHoZlNZZu4E1pSp,0.893,0,0.328,0.862,0,0,168.73656,-11.101,0.0,0,7,0
4eZQqbV2eEpmLXwzDl6ja7,Argenté,Elaenia,Floating Points,https://open.spotify.com/track/4eZQqbV2eEpmLXwzDl6ja7,0.902,0.594,0.826,0.949,0.0424,0.938,274.37332,-13.734,140.0,4,9,1
1mUNzaUyMba5volrY0XfPP,Insult Me,Sensational,Erika de Casier,https://open.spotify.com/track/1mUNzaUyMba5volrY0XfPP,0.977,0.418,0.191,0.00442,0.0429,0.459,198.90604,-17.02,99.03,4,9,0
37rTnKbUqM7n33lXVZGtrg,Running to Chris,Paid Testimony,Baba Stiltz,https://open.spotify.com/track/37rTnKbUqM7n33lXVZGtrg,0.945,0.533,0.442,0.743,0.0333,0.374,184.52667,-10.723,113.047,4,7,1
7s195d7fCSpbn7uNndfDFb,Feel Like Making Love,Ninguém Vai Me Segurar,Ana Mazzotti,https://open.spotify.com/track/7s195d7fCSpbn7uNndfDFb,0.335,0.562,0.563,0.0613,0.0418,0.63,234.12,-16.474,89.363,4,5,0
1TGuyQNNfgpntIQro7w8D1,Sereia Sentimental,Estrela Acesa,Sessa,https://open.spotify.com/track/1TGuyQNNfgpntIQro7w8D1,0.792,0.436,0.233,0.88,0.0331,0.17,191.82558,-16.458,82.937,5,4,1
0smgkpVia3VCXgY4qhVJvp,Guilty Conscience,Modus Vivendi,070 Shake,https://open.spotify.com/track/0smgkpVia3VCXgY4qhVJvp,0.00676,0.539,0.638,0,0.136,0.222,213.33333,-6.049,179.813,4,7,1
2JIVtls9Jf9nAosUbFzbyw,Tonight,Colour Green,Sibylle Baier,https://open.spotify.com/track/2JIVtls9Jf9nAosUbFzbyw,0.976,0.576,0.0941,0.000275,0.0457,0.151,146.62666,-14.713,120.017,3,5,0
6vBq30WUf7EJq0bQPEkBXr,Polite,Sensational,Erika de Casier,https://open.spotify.com/track/6vBq30WUf7EJq0bQPEkBXr,0.0476,0.722,0.559,0.213,0.0446,0.62,204.79175,-10.496,99.996,4,7,0
3RGA3GkVXgfpIIInatwbol,Ciao amore mio,Ciao amore mio,Fuffifufzich,https://open.spotify.com/track/3RGA3GkVXgfpIIInatwbol,0.915,0.86,0.354,0.000777,0.0515,0.45,204.00906,-9.814,109.932,4,2,0
0Lf2PlT8IPAaWc59a2fWU6,For James,The Celestial Suite,Pale Jay,https://open.spotify.com/track/0Lf2PlT8IPAaWc59a2fWU6,0.22,0.253,0.674,0.734,0.0331,0.436,83.04662,-6.929,81.871,4,3,0
